AST Similarity,Token Similarity,Levenshtein Similarity,Length File 1,Length File 2,Function Count File 1,Function Count File 2,Variable Count File 1,Variable Count File 2,Comment Ratio File 1,Comment Ratio File 2,Cyclomatic Complexity File 1,Cyclomatic Complexity File 2,Label
0.5555555555555556,0.18571428571428572,0.8690744920993227,46,52,8,9,15,15,0.0,0.0,4,4,1
0.0,0.07758620689655173,0.40384615384615385,46,46,8,6,15,12,0.0,0.0,4,7,0
0.0,0.09714285714285714,0.3696581196581197,52,46,9,6,15,12,0.0,0.0,4,7,0
0.0,0.08033240997229917,0.4108761329305136,46,50,8,7,15,11,0.0,0.0,4,7,0
0.0,0.05263157894736842,0.3536493604213694,52,50,9,7,15,11,0.0,0.0,4,7,0
0.2857142857142857,0.20498614958448755,0.6581196581196581,46,50,6,7,12,11,0.0,0.0,7,7,0
0.2727272727272727,0.15208333333333332,0.5902738960313024,46,70,8,11,15,19,0.0,0.0,4,5,0
0.5454545454545454,0.3416666666666667,0.6813862493012857,52,70,9,11,15,19,0.0,0.0,4,5,1
0.0,0.052083333333333336,0.36668529904974845,46,70,6,11,12,19,0.0,0.0,7,5,0
0.0,0.06458333333333334,0.4477361654555617,50,70,7,11,11,19,0.0,0.0,7,5,0
0.0,0.4166666666666667,0.7248803827751196,15,17,2,2,9,10,0.0,0.0,5,5,1
0.0,0.1111111111111111,0.6318537859007833,15,17,2,2,9,11,0.0,0.0,5,4,0
0.0,0.16428571428571428,0.6411483253588517,17,17,2,2,10,11,0.0,0.0,5,4,0
0.0,0.19745222929936307,0.7133620689655172,15,19,2,2,9,14,0.0,0.0,5,6,1
0.0,0.28662420382165604,0.6594827586206897,17,19,2,2,10,14,0.0,0.0,5,6,0
0.0,0.11464968152866242,0.6077586206896552,17,19,2,2,11,14,0.0,0.0,4,6,0
0.0,0.0984251968503937,0.34827586206896555,15,37,2,2,9,12,0.0,0.0,5,7,0
0.0,0.09055118110236221,0.364367816091954,17,37,2,2,10,12,0.0,0.0,5,7,0
0.0,0.09055118110236221,0.367816091954023,17,37,2,2,11,12,0.0,0.0,4,7,0
0.0,0.07086614173228346,0.39655172413793105,19,37,2,2,14,12,0.0,0.0,6,7,0
0.0,0.0,0.0,0,33,0,3,0,12,0.0,0.0,1,7,0
0.0,0.07865168539325842,0.32649572649572645,17,27,2,2,12,15,0.0,0.0,3,4,0
0.0,0.08487084870848709,0.33098591549295775,33,27,3,2,12,15,0.0,0.0,7,4,0
0.0,0.09259259259259259,0.32079207920792074,17,23,2,2,12,12,0.0,0.0,3,4,0
0.0,0.06273062730627306,0.33380281690140845,33,23,3,2,12,12,0.0,0.0,7,4,0
